Name,Ticker,Sub-Sector
Shree Pushkar Chemicals & Fertilisers Ltd,SHREEPUSHK,Specialty Chemicals
Gravita India Ltd,GRAVITA,Metals - Lead
Ashapura Minechem Ltd,ASHAPURMIN,Metals - Diversified
Tamilnadu Petroproducts Ltd,TNPETRO,Commodity Chemicals
Uttam Value Steels Ltd,UVSL,Iron & Steel
Shalimar Paints Ltd,SHALPAINTS,Specialty Chemicals
Fineotex Chemical Ltd,FCL,Specialty Chemicals
Nagarjuna Fertilizers and Chemicals Ltd,NAGAFERT,Fertilizers & Agro Chemicals
Madras Fertilizers Ltd,MADRASFERT,Fertilizers & Agro Chemicals
DCW Ltd,DCW,Commodity Chemicals
